LAPORAN HISTORIS PENGGUNAAN UTILITAS (LISTRIK DAN AIR)
Kawasan Industri Tunas Batam Centre
Periode Billing: Juni 2023 s/d Mei 2026

trx_id,tanggal,tenant_id,properti_id,pemakaian_listrik,pemakaian_air,service_charge_base
894,2023-11-22,69,74,"42.727,97","559,59",5000000
895,2023-11-20,70,219,"Rp. 39.721,20","826,39","Rp. 7.500.000,00"
896,2023-11-25,71,6,8597.88,"2.828,91",7500000
897,2023-11-21,72,321,"745,83","124,30","Rp. 1.500.000,00"
898,2023-11-20,73,271,"1.394,96",39.06,"Rp. 2.500.000,00"
899,2023-11-21,74,61,"Rp. 42.864,16","1.916,96",7500000
900,2023-11-24,75,136,17827.94,"2.278,52","Rp. 5.000.000,00"
900,24/11/2023,76,139,"5.937,77","1.296,42","Rp. 5.000.000,00"
902,2023-11-23,77,265,"1.232,57",,"Rp. 1.500.000,00"
902,2023-11-21,78,126,"18.685,15",2857.27,10000000
904,2023-11-25,79,232,"9.281,98",686.04,"Rp. 7.500.000,00"
905,2023-11-23,80,31,"Rp. 43.764,39","2.077,51","Rp. 7.500.000,00"
906,2023-11-20,81,205,"Rp. 14.323,03","625,00","Rp. 5.000.000,00"
907,2023-11-21,82,47,"Rp. 25.303,38","698,90","Rp. 5.000.000,00"
908,2023-11-23,83,222,"38.441,62","1.241,80","Rp. 7.500.000,00"
909,2023-11-25,84,3,N/A,"2.049,61","Rp. 7.500.000,00"
910,2023-11-24,85,157,"32.127,82","664,70",7500000
911,2023-11-20,86,160,"Rp. 32.634,58","1.524,33","Rp. 7.500.000,00"
912,2023-11-22,87,203,"Rp. 36.530,61","1.453,64","Rp. 10.000.000,00"
913,2023-11-20,88,107,"5.867,23",1480.58,"Rp. 7.500.000,00"
914,2023-11-22,89,153,"Rp. 9.240,46",2882.38,"Rp. 10.000.000,00"
915,2023-11-21,90,250,"22.159,90","804,62","Rp. 5.000.000,00"
916,2023-11-24,91,48,"Rp. 32.531,27",2775.37,7500000
917,2023-11-24,92,212,14157.07,"1.982,09","Rp. 5.000.000,00"
917,2023-11-22,93,172,"Rp. 29.103,99","2.727,28","Rp. 10.000.000,00"
919,2023-11-22,94,78,24302.12,"865,30",7500000
920,2023-11-23,95,85,"34.419,80",N/A,"Rp. 10.000.000,00"
921,2023-11-22,96,39,23597.58,"2.774,52","Rp. 5.000.000,00"
922,2023-11-22,97,325,"Rp. 431,36","144,29","Rp. 1.500.000,00"
923,2023-11-21,98,158,"Rp. 35.421,26",2109.05,"Rp. 7.500.000,00"
924,2023-11-21,99,288,"623,02","118,11","Rp. 2.500.000,00"
925,2023-11-21,100,14,N/A,"2.778,56","Rp. 7.500.000,00"
926,2023-11-20,101,202,Meteran Mati,"844,18","Rp. 7.500.000,00"
927,2023-11-24,102,293,"Rp. -264,81","49,84","Rp. 2.500.000,00"
928,2023-11-25,103,319,"1.201,27","86,41","Rp. 1.500.000,00"
929,2023-11-22,104,236,"21.227,63",962.08,"Rp. 5.000.000,00"
930,2023-11-25,105,65,Rusak,"2.065,29","Rp. 10.000.000,00"
930,2023-11-20,106,34,"Rp. 18.094,35","2.960,57","Rp. 10.000.000,00"
932,2023-11-22,107,1,"Rp. 39.286,64",2866.97,"Rp. 5.000.000,00"
933,2023-11-20,108,252,"Rp. 240,31",120.16,1500000
934,23/11/2023,109,181,"Rp. 14.392,11",,"Rp. 10.000.000,00"
935,2023-11-21,110,169,"458.963,25","2.576,13","Rp. 7.500.000,00"
936,2023-11-23,111,204,"Rp. -22.919,57","504,87","Rp. 10.000.000,00"
937,2023-11-25,112,312,"871,88",137.24,"Rp. 3.500.000,00"
938,2023-11-20,113,38,"24.780,43","1.855,67",7500000
939,2023-11-20,114,101,"Rp. 41.731,95",2956.79,"Rp. 5.000.000,00"
940,2023-11-22,115,260,"-1.179,19","87,54","Rp. 3.500.000,00"
941,25/11/2023,116,183,"20.798,42","2.142,23","Rp. 7.500.000,00"
942,20/11/2023,117,83,"Rp. 36.743,76","1.761,28","Rp. 5.000.000,00"
943,2023-11-24,118,35,"16.831,36","1.017,72","Rp. 10.000.000,00"
944,2023-11-24,119,123,"24.137,58","2.037,01","Rp. 5.000.000,00"
945,2023-11-20,120,225,"Rp. 19.042,20","2.928,41","Rp. 7.500.000,00"
946,2023-11-20,121,228,"Rp. -34.962,09","1.103,45","Rp. 7.500.000,00"
947,2023-11-22,122,120,"Rp. 22.777,20","1.755,18","Rp. 7.500.000,00"
948,2023-11-22,123,129,"Rp. 6.592,66","2.002,80","Rp. 7.500.000,00"
949,2023-11-20,124,217,"Rp. 28.342,79","1.733,38","Rp. 10.000.000,00"
950,2023-11-24,125,213,"40.907,58",1420.72,"Rp. 10.000.000,00"
951,2023-11-24,126,304,"-1.831,91","133,82",1500000
952,2023-11-21,127,246,"27.386,66","1.080,62","Rp. 5.000.000,00"
953,2023-11-20,128,307,"Rp. 638,62","82,45","Rp. 1.500.000,00"
954,23/11/2023,129,33,"Rp. 44.594,68","681,48","Rp. 5.000.000,00"
955,2023-11-25,130,132,31866.24,"2.826,95","Rp. 7.500.000,00"
956,2023-11-22,131,173,"Rp. 28.959,15","1.219,07","Rp. 5.000.000,00"
957,2023-11-22,132,113,"Rp. 26.411,64","1.317,72","Rp. 7.500.000,00"
958,2023-11-22,133,49,29654.67,657.34,"Rp. 10.000.000,00"
959,2023-11-24,134,221,"18.399,94","2.190,25","Rp. 7.500.000,00"
960,2023-11-21,135,147,"36.921,23","1.954,37","Rp. 5.000.000,00"
961,2023-11-22,136,327,1490.67,141.22,"Rp. 2.500.000,00"
962,2023-11-20,137,77,"23.190,42","2.977,13","Rp. 10.000.000,00"
963,2023-11-20,138,283,"-421,25","118,82",1500000
964,2023-11-21,139,220,"Rp. 44.073,45","2.298,93","Rp. 7.500.000,00"
965,2023-11-21,140,211,"43.655,99","1.458,18","Rp. 10.000.000,00"
966,2023-11-23,141,272,"Rp. 368.464,64","42,56","Rp. 1.500.000,00"
967,2023-11-23,142,324,-1798.61,"130,58","Rp. 2.500.000,00"
968,2023-11-21,143,239,"29.262,16","1.432,40","Rp. 10.000.000,00"
969,2023-11-23,144,240,"40.109,22","2.901,64","Rp. 10.000.000,00"
970,2023-11-21,145,141,"Rp. 8.578,44",1137.31,5000000
971,2023-11-22,146,20,"41.634,00","730,94",10000000
972,2023-11-21,147,149,"7.671,16",2679.53,10000000
973,2023-11-22,148,111,"Rp. 8.081,90","2.432,09","Rp. 7.500.000,00"
974,2023-11-22,149,290,1579.43,"86,72","Rp. 1.500.000,00"
975,2023-11-24,150,226,"23.197,77","2.275,52","Rp. 10.000.000,00"
976,2023-11-20,118,188,"21.155,94","1.812,63",10000000
977,2023-11-21,145,178,"Rp. 28.991,93",N/A,"Rp. 7.500.000,00"
978,2023-11-22,26,133,Rusak,"2.396,89","Rp. 5.000.000,00"
979,2023-11-22,19,66,"23.531,97",1539.5,5000000
980,2023-11-25,138,274,"1.122,61",Rusak,"Rp. 2.500.000,00"
981,2023-11-25,55,209,"5.965,59","1.508,53","Rp. 10.000.000,00"
982,2023-11-24,130,216,"34.146,58","1.915,88","Rp. 5.000.000,00"
983,21/11/2023,68,182,-20775.98,"604,73","Rp. 7.500.000,00"
984,2023-11-24,34,145,"Rp. 7.649,13","2.647,10","Rp. 7.500.000,00"
985,2023-11-25,90,110,"Rp. 19.884,66","1.672,32",7500000
986,2023-11-22,18,135,28754.01,2741.48,"Rp. 5.000.000,00"
987,2023-11-20,63,273,"466,35","49,07","Rp. 1.500.000,00"
988,2023-11-22,95,64,"29.922,33",2871.23,"Rp. 10.000.000,00"
989,2023-11-20,73,291,"Rp. 1.782,39","83,94","Rp. 2.500.000,00"
990,2023-11-22,41,243,"Rp. 36.847,77","521,22","Rp. 10.000.000,00"
991,2023-12-21,1,45,"Rp. 41.723,34","2.249,96",10000000
992,2023-12-23,2,99,"37.967,64","1.725,90","Rp. 7.500.000,00"
993,2023-12-22,3,185,"32.561,28","580,08",7500000
994,2023-12-22,4,124,"Rp. 13.421,89","1.653,22","Rp. 10.000.000,00"
995,2023-12-22,5,122,"33.745,62","1.588,34","Rp. 5.000.000,00"
996,2023-12-25,6,168,6255.18,"2.632,67",7500000
997,2023-12-24,7,270,"766,62","139,01",3500000
998,2023-12-21,8,10,"Rp. 16.114,49","1.005,64","Rp. 5.000.000,00"
999,2023-12-20,9,289,798.53,"105,63","Rp. 3.500.000,00"
1000,2023-12-23,10,177,N/A,"1.867,81","Rp. 10.000.000,00"
1001,2023-12-20,11,198,29350.42,"1.077,36","Rp. 7.500.000,00"
1002,2023-12-25,12,114,119105.5,2880.02,"Rp. 7.500.000,00"
1003,2023-12-21,13,4,"Rp. 30.600,79",1265.51,"Rp. 10.000.000,00"
1004,2023-12-23,14,52,"Rp. 13.010,28","2.212,71","Rp. 5.000.000,00"
1005,2023-12-22,15,16,11556.29,744.01,"Rp. 7.500.000,00"
1006,2023-12-21,16,90,"Rp. 9.534,83","1.628,23","Rp. 5.000.000,00"
1007,2023-12-20,17,210,"Rp. 15.011,04","545,57",10000000
1008,2023-12-23,18,86,"Rp. 20.571,13",2391.89,"Rp. 5.000.000,00"
1009,2023-12-23,19,116,Meteran Mati,Tanpa Catatan,7500000
1010,2023-12-20,20,22,"5.297,51","1.287,93","Rp. 7.500.000,00"
1011,2023-12-23,21,104,6299.2,"2.588,07",7500000
1012,2023-12-24,22,106,"16.226,72","2.624,34","Rp. 5.000.000,00"
1013,2023-12-24,23,201,"Rp. 39.062,80","1.406,33","Rp. 5.000.000,00"
1014,2023-12-23,24,244,"41.518,93","699,16","Rp. 10.000.000,00"
1015,2023-12-24,25,62,"18.330,66","2.352,74","Rp. 5.000.000,00"
1016,2023-12-25,26,30,"Rp. 14.903,03",Rusak,"Rp. 5.000.000,00"
1017,2023-12-24,27,127,"44.585,87","513,22","Rp. 10.000.000,00"
1018,2023-12-25,28,223,"10.448,42","2.934,30","Rp. 7.500.000,00"
1019,2023-12-21,29,73,"Rp. 10.127,64","960,89","Rp. 10.000.000,00"
1020,2023-12-20,30,46,"Rp. 9.504,54",,"Rp. 5.000.000,00"
1021,2023-12-23,31,322,"Rp. 785,20",73.45,3500000
1022,2023-12-22,32,175,"Rp. 15.955,90","622,33",5000000
1023,2023-12-23,33,214,35762.14,1683.08,10000000
1024,2023-12-22,34,105,"41.192,26","542,86","Rp. 5.000.000,00"
1025,2023-12-24,35,297,-1129.66,"60,33","Rp. 2.500.000,00"
1026,2023-12-21,36,96,N/A,"2.804,57","Rp. 10.000.000,00"
1027,2023-12-21,37,67,"17.253,52","2.410,41","Rp. 7.500.000,00"
1028,2023-12-23,38,165,"Rp. 39.311,86","1.392,20",5000000
1029,2023-12-23,39,249,"34.544,61","756,54","Rp. 10.000.000,00"
1030,2023-12-25,40,200,"Rp. 8.739,32","2.808,92","Rp. 10.000.000,00"
1031,2023-12-23,41,79,"Rp. 42.049,13","1.723,87","Rp. 5.000.000,00"
1032,2023-12-23,42,284,"Rp. 495,73","116,06","Rp. 3.500.000,00"
1033,2023-12-23,43,80,"22.978,68","2.046,62","Rp. 5.000.000,00"
1034,2023-12-25,44,13,"Rp. 11.855,01","587,82","Rp. 5.000.000,00"
1035,2023-12-23,45,311,1199.0,"108,03","Rp. 3.500.000,00"
1036,2023-12-20,46,197,"38.467,60",N/A,7500000
1037,2023-12-21,47,150,"Rp. 10.071,16","634,48","Rp. 10.000.000,00"
1037,2023-12-23,48,28,"7.030,33","2.645,76",10000000
1039,2023-12-22,49,82,"Rp. 13.212,01","2.507,18","Rp. 5.000.000,00"
1040,2023-12-20,50,100,"Rp. 18.507,26","582,77",5000000
1041,2023-12-24,51,235,"Rp. 24.231,20",2513.43,"Rp. 7.500.000,00"
1042,2023-12-24,52,11,"Rp. 35.101,17","1.152,01",5000000
1043,2023-12-25,53,134,"339.684,66",,"Rp. 10.000.000,00"
1044,2023-12-23,54,299,"Rp. 1.154,06","72,67",3500000
1045,2023-12-24,55,125,"Rp. 27.101,73","598,44","Rp. 7.500.000,00"
1046,2023-12-25,56,43,7580.58,"1.169,53","Rp. 5.000.000,00"
1047,2023-12-25,57,224,"Rp. 42.937,81","1.746,12","Rp. 5.000.000,00"
1048,2023-12-23,58,300,Meteran Mati,"94,28","Rp. 3.500.000,00"
1048,2023-12-23,59,112,"17.383,40","2.445,74",5000000
1050,2023-12-22,60,121,"33.844,97",Rusak,"Rp. 10.000.000,00"
1051,2023-12-25,61,154,"43.398,87","1.825,89",5000000
1052,2023-12-24,62,253,1438.86,24.88,"Rp. 3.500.000,00"
1053,2023-12-24,63,326,"Rp. 1.475,98","71,31","Rp. 1.500.000,00"
1054,2023-12-22,64,131,"Rp. 32.151,32",1731.45,"Rp. 5.000.000,00"
1055,2023-12-22,65,5,Rusak,"2.901,85",7500000
1056,2023-12-24,66,53,"Rp. 375.358,68",819.77,10000000
1057,2023-12-24,67,313,"905,17","99,27","Rp. 2.500.000,00"
1058,2023-12-20,68,242,"Rp. 38.522,61","1.966,39","Rp. 7.500.000,00"
1059,25/12/2023,69,74,"6.459,31","2.365,04",10000000
1060,2023-12-20,70,219,"Rp. 32.747,45","791,28","Rp. 5.000.000,00"
1061,2023-12-23,71,6,"32.396,32","681,70","Rp. 10.000.000,00"
1062,2023-12-24,72,321,1073.49,"119,20","Rp. 3.500.000,00"
1063,2023-12-20,73,271,"Rp. 1.604,44","64,54","Rp. 1.500.000,00"
1064,2023-12-22,74,61,"Rp. 23.061,36",2234.92,"Rp. 10.000.000,00"
1065,2023-12-24,75,136,11624.04,"2.390,55",10000000
1066,2023-12-24,76,139,"Rp. 32.036,34","2.402,71","Rp. 7.500.000,00"
1067,2023-12-20,77,265,"Rp. 1.225,07","123,00","Rp. 1.500.000,00"
1068,2023-12-25,78,126,"Rp. 32.987,10","2.975,06","Rp. 7.500.000,00"
1069,2023-12-20,79,232,29269.24,"1.314,45",10000000
1070,2023-12-25,80,31,"43.400,82",Rusak,"Rp. 5.000.000,00"
1071,2023-12-21,81,205,36344.03,"1.456,08",7500000
1072,2023-12-20,82,47,"17.547,79",1342.13,"Rp. 5.000.000,00"
1073,2023-12-21,83,222,"Rp. -11.569,82","2.380,83",5000000
1074,2023-12-22,84,3,"Rp. 31.732,60",,"Rp. 7.500.000,00"
1075,2023-12-22,85,157,7926.51,"2.344,33","Rp. 5.000.000,00"
1076,2023-12-21,86,160,16192.01,"542,04","Rp. 7.500.000,00"
1077,22/12/2023,87,203,"Rp. 18.782,02","1.888,66",5000000
1078,2023-12-22,88,107,42462.98,"2.186,58","Rp. 7.500.000,00"
1079,2023-12-21,89,153,"Rp. 21.052,49","1.667,98","Rp. 5.000.000,00"
1080,2023-12-21,90,250,"44.181,77","1.294,39","Rp. 7.500.000,00"
1081,2023-12-23,91,48,"17.920,91","852,13","Rp. 7.500.000,00"
1082,2023-12-21,92,212,"42.107,36",Rusak,10000000
1083,2023-12-24,93,172,"Rp. 12.735,42","1.798,56",7500000
1084,2023-12-24,94,78,"Rp. 9.599,42",,"Rp. 10.000.000,00"
1085,2023-12-23,95,85,"Rp. 22.147,57",2201.86,"Rp. 5.000.000,00"
1086,2023-12-23,96,39,8374.1,"2.601,70","Rp. 5.000.000,00"
1087,2023-12-24,97,325,"1.436,15",72.64,"Rp. 1.500.000,00"
1088,2023-12-25,98,158,"Rp. 35.902,84",1171.29,"Rp. 7.500.000,00"
1089,2023-12-25,99,288,1392.16,"90,50","Rp. 3.500.000,00"
1090,2023-12-23,100,14,"8.360,57",1366.95,"Rp. 10.000.000,00"
1091,2023-12-21,101,202,"12.839,55","2.422,77","Rp. 10.000.000,00"
1092,2023-12-20,102,293,"Rp. 1.234,27","76,74","Rp. 2.500.000,00"
1093,24/12/2023,103,319,"535,23","101,28","Rp. 1.500.000,00"
1094,2023-12-24,104,236,"31.920,45","919,80","Rp. 10.000.000,00"
1095,2023-12-20,105,65,"Rp. 30.532,05","2.084,87",5000000
1096,2023-12-24,106,34,"11.576,86","699,02",10000000
1097,2023-12-24,107,1,"32.783,91","1.358,31","Rp. 10.000.000,00"
1098,2023-12-24,108,252,"Rp. -895,30","130,52","Rp. 2.500.000,00"
1099,2023-12-20,109,181,"Rp. 7.980,39","2.580,99","Rp. 7.500.000,00"
1100,20/12/2023,110,169,"Rp. 23.147,07","1.316,92","Rp. 7.500.000,00"
1101,2023-12-20,111,204,"29.830,83","2.881,83","Rp. 5.000.000,00"
1102,2023-12-21,112,312,1142.7,"92,99",3500000
1103,2023-12-25,113,38,"42.406,96","1.893,52",7500000
1104,2023-12-24,114,101,18491.41,"2.352,00",10000000
1105,2023-12-21,115,260,1924.41,"138,36",1500000
1106,2023-12-20,116,183,40136.31,"681,87","Rp. 5.000.000,00"
1107,2023-12-21,117,83,"30.336,71","1.564,21",10000000
1108,2023-12-22,118,35,Meteran Mati,2472.07,"Rp. 10.000.000,00"
1109,2023-12-24,119,123,"Rp. 43.347,66",1814.57,"Rp. 5.000.000,00"
1110,2023-12-25,120,225,"Rp. 20.086,25","520,29","Rp. 5.000.000,00"
1111,2023-12-24,121,228,"Rp. 36.476,92",2749.63,7500000
1112,2023-12-21,122,120,"Rp. 37.666,72","2.637,20",10000000
1113,2023-12-24,123,129,32499.31,"995,80","Rp. 10.000.000,00"
1114,2023-12-22,124,217,"Rp. 13.563,94","1.529,85","Rp. 5.000.000,00"
1115,2023-12-23,125,213,"33.098,81","1.111,30",10000000
1116,2023-12-20,126,304,"1.895,42","94,24",2500000
1117,2023-12-24,127,246,"Rp. 11.973,22","674,71",5000000
1118,2023-12-22,128,307,"Rp. 1.902,45","87,46","Rp. 1.500.000,00"
1119,2023-12-24,129,33,"24.557,82","2.527,08","Rp. 10.000.000,00"
1120,2023-12-20,130,132,7435.24,2594.64,"Rp. 5.000.000,00"
1121,2023-12-22,131,173,"39.873,01","2.885,24","Rp. 10.000.000,00"
1122,2023-12-20,132,113,"34.396,88","982,13",10000000
1123,2023-12-20,133,49,"Rp. 34.270,22","788,90","Rp. 5.000.000,00"
1124,2023-12-24,134,221,"-21.107,85",,5000000
1125,2023-12-22,135,147,13563.57,1234.03,"Rp. 5.000.000,00"
1126,21/12/2023,136,327,"Rp. 362,18",Tanpa Catatan,"Rp. 3.500.000,00"
1127,2023-12-24,137,77,"Rp. 37.929,53",984.13,"Rp. 7.500.000,00"
1128,2023-12-21,138,283,1602.59,"95,85","Rp. 1.500.000,00"
1129,2023-12-24,139,220,"Rp. 496.040,00","2.853,78","Rp. 10.000.000,00"
1130,2023-12-25,140,211,"Rp. 33.753,64","2.909,99","Rp. 7.500.000,00"
1131,2023-12-25,141,272,-213.64,,2500000
1132,2023-12-21,142,324,"Rp. 961,74",122.29,"Rp. 3.500.000,00"
1133,2023-12-20,143,239,"-15.043,98","1.585,46","Rp. 5.000.000,00"
1134,2023-12-21,144,240,"Rp. 21.952,21",606.56,"Rp. 5.000.000,00"
1135,2023-12-20,145,141,"21.343,47","754,17","Rp. 5.000.000,00"
1135,2023-12-21,146,20,"5.991,61","1.912,83","Rp. 5.000.000,00"
1137,2023-12-20,147,149,"37.146,14","2.442,51","Rp. 10.000.000,00"
1138,2023-12-20,148,111,-38227.72,"2.248,69","Rp. 7.500.000,00"
1139,2023-12-25,149,290,"Rp. 1.259,33",106.65,"Rp. 1.500.000,00"
1140,2023-12-23,150,226,"Rp. 15.782,25",507.57,"Rp. 5.000.000,00"
1141,2023-12-23,118,188,20800.01,"2.015,27","Rp. 7.500.000,00"
1142,2023-12-24,145,178,"43.218,08","871,10","Rp. 7.500.000,00"
1143,2023-12-25,26,133,28804.85,,"Rp. 5.000.000,00"
1144,2023-12-24,19,66,"Rp. 13.573,69","627,45","Rp. 7.500.000,00"
1145,2023-12-20,138,274,"Rp. 1.638,53",50.58,"Rp. 3.500.000,00"
1146,2023-12-20,55,209,26500.07,2064.9,"Rp. 7.500.000,00"
1146,24/12/2023,130,216,40207.09,"1.390,13","Rp. 10.000.000,00"
1148,2023-12-24,68,182,"Rp. 23.972,31",1683.19,"Rp. 5.000.000,00"
1148,2023-12-22,34,145,"11.613,98","2.176,03","Rp. 10.000.000,00"
1150,2023-12-24,90,110,"Rp. 9.716,56","2.761,80","Rp. 5.000.000,00"
1151,2023-12-25,18,135,"18.332,28","1.443,47",5000000
1152,2023-12-22,63,273,Meteran Mati,"68,92","Rp. 3.500.000,00"
1153,2023-12-21,95,64,"Rp. 10.693,59","2.953,07","Rp. 7.500.000,00"
1154,2023-12-21,73,291,"Rp. 1.784,60","37,87","Rp. 2.500.000,00"
1155,2023-12-23,41,243,9517.85,"2.740,15","Rp. 10.000.000,00"
1156,2024-01-22,1,45,-40777.7,"1.354,32","Rp. 5.000.000,00"
1157,2024-01-20,2,99,"Rp. 24.823,68",,"Rp. 10.000.000,00"
1158,2024-01-23,3,185,"Rp. 34.613,42","2.741,44",10000000
1159,2024-01-24,4,124,"Rp. 27.046,12",742.25,"Rp. 5.000.000,00"
1160,2024-01-24,5,122,"31.526,72","2.043,52",5000000
1161,2024-01-20,6,168,"17.542,23","2.149,77",5000000
1162,2024-01-21,7,270,"326,69","30,22","Rp. 3.500.000,00"
1163,2024-01-24,8,10,"28.170,75",,10000000
1164,2024-01-20,9,289,"284,52","139,67","Rp. 2.500.000,00"
1165,2024-01-24,10,177,Meteran Mati,"1.286,87","Rp. 7.500.000,00"
1166,2024-01-22,11,198,"6.155,65","827,14","Rp. 7.500.000,00"
1167,2024-01-23,12,114,"18.880,94","2.813,38",5000000
1168,20/01/2024,13,4,"10.373,46","1.290,01","Rp. 5.000.000,00"
1169,2024-01-23,14,52,"Rp. 41.177,49","1.842,13","Rp. 5.000.000,00"
1170,2024-01-20,15,16,40890.61,"2.827,46","Rp. 7.500.000,00"
1171,2024-01-22,16,90,"15.049,14","2.338,54",7500000
1172,2024-01-22,17,210,"42.919,52","937,07","Rp. 5.000.000,00"
1173,2024-01-25,18,86,"16.408,28","1.668,06","Rp. 10.000.000,00"
1174,2024-01-24,19,116,"Rp. 32.286,88","2.051,98","Rp. 5.000.000,00"
1175,21/01/2024,20,22,317160.79,2549.12,"Rp. 7.500.000,00"
1176,2024-01-25,21,104,"Rp. 29.355,23",2482.07,"Rp. 5.000.000,00"
1177,2024-01-22,22,106,"Rp. 34.612,25","1.786,76","Rp. 10.000.000,00"
1178,2024-01-25,23,201,"Rp. 22.099,90","2.564,63","Rp. 5.000.000,00"
1179,2024-01-25,24,244,"14.636,94",1989.39,"Rp. 5.000.000,00"
1180,2024-01-24,25,62,"17.243,00","2.963,21",7500000
1181,2024-01-20,26,30,"Rp. 43.540,28","2.276,18","Rp. 5.000.000,00"
1182,2024-01-21,27,127,31381.24,1749.92,"Rp. 7.500.000,00"
1183,2024-01-20,28,223,"9.845,06",,"Rp. 5.000.000,00"
1184,2024-01-20,29,73,30255.16,"2.178,68","Rp. 10.000.000,00"
1185,2024-01-21,30,46,"14.409,27","1.882,58","Rp. 7.500.000,00"
1186,21/01/2024,31,322,N/A,"132,63",3500000
1187,2024-01-23,32,175,"37.694,79",Tanpa Catatan,7500000
1188,2024-01-24,33,214,7953.03,"2.762,47","Rp. 7.500.000,00"
1189,2024-01-22,34,105,"Rp. 20.952,93",,"Rp. 10.000.000,00"
1190,2024-01-23,35,297,"Rp. 880,26","114,33",3500000
1191,2024-01-25,36,96,"Rp. 7.905,91","576,59",10000000
1192,2024-01-21,37,67,"Rp. 19.340,27","2.623,18",10000000
1193,2024-01-20,38,165,"Rp. 36.358,60","1.403,02","Rp. 10.000.000,00"
1194,2024-01-24,39,249,"Rp. 31.918,97","2.586,96",10000000
1195,2024-01-24,40,200,"7.135,78","2.267,83",7500000
1196,2024-01-21,41,79,"329.809,05","853,84",7500000
1197,2024-01-24,42,284,"Rp. 701,20","132,39","Rp. 1.500.000,00"
1198,2024-01-22,43,80,32553.89,"2.292,69","Rp. 5.000.000,00"
1199,2024-01-21,44,13,30659.22,"2.382,65",5000000
1200,25/01/2024,45,311,"Rp. 1.545,56","25,67",2500000
1201,2024-01-24,46,197,"43.279,24","1.141,06","Rp. 10.000.000,00"
1202,2024-01-21,47,150,28723.92,"1.932,71","Rp. 7.500.000,00"
1203,2024-01-25,48,28,"13.087,38","1.277,14","Rp. 10.000.000,00"
1204,2024-01-24,49,82,23730.88,"1.241,92","Rp. 10.000.000,00"
1205,2024-01-25,50,100,"34.813,28",1619.51,"Rp. 10.000.000,00"
1206,2024-01-23,51,235,"-16.916,61","2.787,51","Rp. 10.000.000,00"
1207,2024-01-21,52,11,"27.582,84","2.322,97","Rp. 5.000.000,00"
1208,2024-01-25,53,134,Meteran Mati,"750,29","Rp. 10.000.000,00"
1209,2024-01-25,54,299,502.74,"23,09",3500000
1210,2024-01-21,55,125,"Rp. 22.509,50",,"Rp. 10.000.000,00"
1211,2024-01-20,56,43,"Rp. 42.220,06","2.766,26","Rp. 7.500.000,00"
1211,2024-01-23,57,224,"Rp. 33.167,38","2.611,31",7500000
1212,2024-01-24,58,300,Meteran Mati,"48,11","Rp. 2.500.000,00"
1214,2024-01-22,59,112,35412.68,"661,02","Rp. 10.000.000,00"
1215,2024-01-24,60,121,"Rp. 14.745,24","1.434,50","Rp. 10.000.000,00"
1216,2024-01-24,61,154,"Rp. 26.869,41","2.292,82",7500000
1217,2024-01-20,62,253,"Rp. 257.052,20","110,86","Rp. 2.500.000,00"
1218,2024-01-21,63,326,"Rp. 1.973,66","60,70","Rp. 1.500.000,00"
1219,2024-01-24,64,131,-17308.61,"2.640,03","Rp. 5.000.000,00"
1220,2024-01-23,65,5,"Rp. 21.560,18","1.133,19","Rp. 5.000.000,00"
1221,2024-01-21,66,53,"40.058,29","1.906,43","Rp. 10.000.000,00"
1222,2024-01-23,67,313,"1.647,39",43.29,"Rp. 1.500.000,00"
1223,2024-01-20,68,242,"Rp. 37.046,12","2.604,63",5000000
1224,2024-01-22,69,74,"41.394,43","2.306,97","Rp. 10.000.000,00"
1225,2024-01-25,70,219,23550.0,"2.932,03","Rp. 5.000.000,00"
1226,2024-01-20,71,6,"13.637,89",1868.72,"Rp. 7.500.000,00"
1227,2024-01-20,72,321,"Rp. 448,58","113,91",2500000
1228,25/01/2024,73,271,1077.09,56.24,"Rp. 1.500.000,00"
1229,2024-01-21,74,61,"Rp. 10.061,32","2.068,26","Rp. 5.000.000,00"
1230,2024-01-20,75,136,"-9.129,42","1.432,33","Rp. 5.000.000,00"
1231,2024-01-20,76,139,"Rp. 36.721,89","1.077,02","Rp. 7.500.000,00"
1232,2024-01-25,77,265,"Rp. 1.790,23","109,15","Rp. 3.500.000,00"
1233,2024-01-23,78,126,"Rp. 16.036,23","2.050,22","Rp. 7.500.000,00"
1234,2024-01-22,79,232,"41.296,45","1.651,26","Rp. 5.000.000,00"
1235,2024-01-21,80,31,"Rp. 6.447,11","2.913,28","Rp. 7.500.000,00"
1236,2024-01-22,81,205,11757.73,"836,72",5000000
1237,2024-01-21,82,47,11052.22,"2.197,94","Rp. 10.000.000,00"
1238,2024-01-22,83,222,"Rp. 33.974,20",2768.6,"Rp. 10.000.000,00"
1239,2024-01-25,84,3,43964.33,"966,65","Rp. 7.500.000,00"
1240,2024-01-25,85,157,"-38.933,58","1.822,50","Rp. 7.500.000,00"
1241,2024-01-24,86,160,36899.51,"1.170,63","Rp. 10.000.000,00"
1242,2024-01-22,87,203,N/A,"1.577,27",7500000
1243,2024-01-23,88,107,37590.64,"963,41",7500000
1244,2024-01-21,89,153,"16.047,36","1.098,99","Rp. 10.000.000,00"
1245,20/01/2024,90,250,"37.663,12","1.252,49",7500000
1246,2024-01-21,91,48,"30.824,66","2.327,18",7500000
1246,2024-01-23,92,212,37625.82,"2.144,85","Rp. 10.000.000,00"
